,label,text
0,0,"RT @STEVENWlTHAV: #MoonKnight

comic parallels; a thread.

     [episode 1]                  [episode 2] https://t.co/ptORI4njVh"
1,0,"RT @reblmoon: We all can agree that Moonknight episode 6 season finale visuals are top tier 
#moonknight https://t.co/JLRMjiR4zp"
2,0,RT @reblmoon: WE ALL CAN AGREE THAT THE MOONKNIGHT EPISODE 6 THESE SHOTS WERE CHEF'S KISS #Moonknight https://t.co/rLoGqhF196
3,0,THAT MOONKNIGHT ENDING WOAHHHHH
4,0,"RT @getFANDOM: Oscar Isaac says there are 'no official plans' for #MoonKnight S2

'I love being Steven... If there was a story that really…"
5,0,RT @eevilynee: JAKE LOCKLEY SAID LATINO SUPREMACY #MoonKnight https://t.co/OpKVqWNrry
6,1,"Call her lucifer cause she's condemning my gay ass to hell
#MoonKnight #LaylaElFaouly #MoonKnightSpoilers https://t.co/H9ItJfGVmR"
7,0,RT @mccnkniqht: something so poetic about a palestinian actress eating up a zionist
8,0,The trailer for Avatar 2 was amazing. I'm so excited for the movie. Maybe it was too soon to release it.
9,0,"RT @bakhwans: Retweet would be really appreciated ♡

Halo! Chu open req layout scenery basic bright, dark, unfiltered. Only 2k/each include…"
10,1,"RT @marcdameron: #MoonKnight ep6 spoilers 
-
-
-
-
steven ""HIPPO!"" grant i am quite literally in love with you https://t.co/xwjcpryyvR"
11,1,"RT @heididjarin: #moonknight spoilers
.
.
.
.
.
.
.
I really didn't see this was coming but oh my god she's so fine https://t.co/yS53ZtHJIY"
12,0,RT @kirawontmiss: Who tf is on his security team?? Batman?
13,0,"RT @LostCityMovie: We’ve got your weekend plans right here. Get your tickets now to see Sandra Bullock, Channing Tatum, and Daniel Radcliff…"
14,0,RT @kirawontmiss: Who tf is on his security team?? Batman?
15,0,Wish it was summer break so I have more incentive to continue old Batman stuff
16,0,"RT @eggboyspeaks: #MoonKnight 
•
•
•
ladies and gentlemen, #JakeLockley https://t.co/qD5JXPyFvn"
17,0,RT @Dorian_DID: Friendly reminder that there’s no such thing as evil alters. I don’t want to see posts saying that Jake is an evil alter be…
18,0,"If you've had enough talking about politics, why not listen to me and my co-host's opinions on the totally non-cont… https://t.co/KhV03oGFmd"
19,0,"RT @filmskyrie: #Moonknight FINALE
.
.
.
im crying rain https://t.co/LsEKmVJjzz"
20,0,"RT @OscarIsaacInfo: Oscar Isaac pictured with @MohamedDiab678 and Hazem Ehab #MoonKnight 
https://t.co/jQlmJSg8lG https://t.co/RGiYAsZlFW"
21,0,"MS Clippy Is Coming To Halo Infinite Season 2. No, Really
https://t.co/DfWZfIjNYb
#nft #tezos"
22,0,The Batman Honest Trailer Pokes Fun At Gen Z Bruce Wayne [EXCLUSIVE] https://t.co/nGaYNGMARd
23,0,"RT @eggboyspeaks: #MoonKnight 
•
•
•
ladies and gentlemen, #JakeLockley https://t.co/qD5JXPyFvn"
24,0,RT @seraphilms: *inhales*  FLOAT LIKE A BUTTERFLY STING LIKE A BEE MY NAME IS STEVEN WITH A V #MoonKnight https://t.co/qWVTBiVGwB
25,0,"@MEGAMINFT I produce 3D avatars NFT.🍵🍡

▼PNG Collection▼
https://t.co/tCIR1N7LFS

▼GLB Collection▼… https://t.co/gMxIGfTWa6"
26,0,RT @JigawattJack: Is this the strange doctor everyone seems excited about? #DoctorStrange #DrRobotnik #Robotnik #Sonic #SonicTheHedgehog #S…
27,0,RT @asadayaz: Hope you guys enjoy the epic finale #MoonKnight #DisneyPlus https://t.co/xRzePewj6V
28,0,RT @WonkyDrive: I calculated how far GimR's animated avatar has walked. The average stride for a 5'10 male is 29 inches. I calculated /w me…
29,0,RT @JigawattJack: Is this the strange doctor everyone seems excited about? #DoctorStrange #DrRobotnik #Robotnik #Sonic #SonicTheHedgehog #S…
30,0,@XLR8_LIVE Nooo don't patch the fun out of halo 343
31,1,"RT @ZenitsuStreams: God pls dont spoil @
#DoctorStrange #MultiverseOfMadness #Wanda https://t.co/UJYmar6kYb"
32,0,"@MoreMovies4U And want to learn more about Stanley?

https://t.co/Bd0wy9Gxej"
33,0,RT @chrisdadeviant: boom #MoonKnight https://t.co/8ggd181G4A
34,0,RT @saescentric: this is actually insane cause I never seen this type of energy for horrible abusive men
35,0,"RT @despairdean: #moonknight 
this jake lockley reveal tho omg hes so sexy fr my boy is finally home https://t.co/Gcuj6UyZMQ"
36,0,"RT @veve_official: The First Appearance of #DoctorStrange

@Marvel’s Strange Tales #110 features VeVe-Exclusive Rare &amp; Ultra Rare covers by…"
37,0,"@iamDCinvestor Because if projects can find a way to make namespace the schelling point and ENS the base layer, the… https://t.co/cLaLQpPnqm"
38,0,Who wants to watch Lego Batman with me
39,0,Is it a new season of Ozark?
40,1,And Jake but shhh that’s a spoiler
41,0,"RT @uchalamet: #MoonKnight 
steven and marc thinking that they are finally free 

Jake lockley : https://t.co/qU5VFpl73s"
42,0,RT @kirawontmiss: Who tf is on his security team?? Batman?
43,0,RT @HAPPIF4IRY: diane foxington the bad guys edit bad girls do it well audio #TheBadGuys  #TheBadGuysmovie #DianeFoxington https://t.co/chZ…
44,0,"oh so me and one of my friends were talking at work. we might do moonknight cosplays, me as mr knight, he would do… https://t.co/hAJiTCldYW"
45,0,"@CAPNxIIVII_V_IP @ThimbleFire @itsevangeliaa @MsBlaireWhite Holy _____, Batman is a cultural reference based upon t… https://t.co/EOTROr145I"
46,0,"RT @Lada_lyumosCOS: Astrologers proclaim the Marvel week. Amount of Marvel posts is doubled! 

Md: @Lada_lyumosCOS
Ph: @kmitenkova
Bodyart:…"
47,0,"RT @_Flyingsnake: Spamton avatar drop!

After like two months he’s finally done!
Already uploaded to my avatar world too, he’s quest compat…"
48,0,RT @mknighthinker: WTF MARC I CANT BREATHE YOU CANT DO THIS TO ME U HAVE NO RIGHTS #MoonKnight https://t.co/OGdA3yifwV
49,0,@Halo Fucking dying for grifball!!!
50,0,"RT @Theresa89798981: Patriots, if you really care about ending abortion, boycott Bungie."
51,0,RT @chibetto64: One of the very first explorations of Wolf #TheBadGuys #characterdesign https://t.co/2268FKbZFw
52,0,@S3j123 and its because of spiderman too i think the universe is telling me something ✌️
53,0,RT @freeBorushiki: I’m sorry but there’s a line we gotta draw when it comes to make up and the word “beauty”. @KendallJenner over here look…
54,0,"RT @Trickyhours: thank you Wandavision and Moon Knight for being the best MCU shows on Disney+
#MoonKnight https://t.co/wcp7jD8MxQ"
55,1,"@greggrunberg SPOILER!

Rogue One. When you have been a fan for all your life and the realization that no one makes… https://t.co/FWT6xNgWQs"
56,0,"RT @MohamedDiab678: Thanks everyone who worked day and night on #MoonKnight for 2 years to make the best show they can. Thanks Marvel, Osca…"
57,1,e se no post do Namjoon tiver algum spoiler..?
58,1,"RT @RWerteb: #MoonKnight finale spoilers 
.
.
.
.
Khonshu be like: Marc wasn’t violent enough, let me introduce you to Jake Lockley https:/…"
59,1,@Thisispearson @NBCThisisUs @Dan_Fogelman @ThisIsUsWriters Thanks for the spoiler
60,0,RT @chrisdadeviant: boom #MoonKnight https://t.co/8ggd181G4A
61,0,RT @asgardianangelx: EVERYONE SAY THANK YOU TAWERET FOR LAYLA’S SUIT!!🫡#MoonKnight https://t.co/s1VEvXBET4
62,0,"RT @Trickyhours: thank you Wandavision and Moon Knight for being the best MCU shows on Disney+
#MoonKnight https://t.co/wcp7jD8MxQ"
63,0,"RT @filmskyrie: #Moonknight FINALE
.
.
.
im crying rain https://t.co/LsEKmVJjzz"
64,0,"RT @heonxkyun: i'm 
○ single
○ taken
● in love with this scene from #MoonKnight ep 6 https://t.co/gRKZCcpDmy"
65,0,"RT @lova_santika: get you a man who look at you like marc look at layla
#MoonKnight https://t.co/EYVxODpEdg"
66,0,"#MoonKnight you were good to us.
Now Dr. Strange, I am no way, in any shape or form, ready for that viewing"
67,0,RT @chrisdadeviant: boom #MoonKnight https://t.co/8ggd181G4A
68,0,"RT @ComicBookNOW: Elizabeth Olsen Reveals WandaVision Fan Theory She Thought Should Have Been Used
https://t.co/8uyDaE6g8z https://t.co/gUm…"
